LogP,MW,TPSA,prediction
1.5061,148.100048384,24.92,1
0.5549999999999997,190.110613068,34.03,1
0.715,166.07422756,42.43000000000001,1
-3.3859999999999983,263.975960908,46.97,1
1.6645,146.08439832,25.25,1
1.8824,176.97481914,29.96,0
1.6722,160.100048384,24.92,1
0.07309999999999994,139.02694302,70.16,0
0.39360000000000006,184.012021228,113.56000000000002,0
1.17662,151.063328528,39.19,1
0.9592999999999998,192.089877624,62.22,1
1.6069999999999998,185.024356176,39.19,1
1.17662,151.063328528,39.19,1
0.48892,136.063662876,55.980000000000004,1
1.5399999999999998,244.048406736,100.38000000000001,0
2.5404000000000004,340.08576655599995,50.28,1
2.0208,228.973840596,39.19,1
0.7882999999999998,174.06905387199998,38.05,0
1.8961999999999999,162.115698448,24.92,1
0.1805,122.048012812,55.980000000000004,1
0.5008999999999999,177.055656304,38.33,0
2.0866000000000002,190.954083696,50.19,0
0.46439999999999976,146.06914218,69.97,1
0.07310000000000005,139.02694302,70.16,0
1.5061,148.100048384,24.92,1
2.0866,190.954083696,50.19,0
1.8824,176.97481914,29.96,0
0.3604999999999999,167.058243148,59.42,1
-2.977399999999996,687.1091218040001,299.47999999999996,0
1.6577,207.100776656,62.63,1
1.3749,176.094963004,33.2,1
-2.8304999999999985,334.05660207,166.25000000000003,1
0.48539999999999994,139.02694302,70.42,0
0.3023999999999999,220.048406736,76.57,1
2.107500000000001,250.063968492,41.99,1
2.3932,292.8687026,39.19,0
14.756899999999963,630.5739669879999,20.23,0
1.08822,137.047678464,50.19,0
-0.5811000000000002,138.042927432,70.03,1
1.81452,162.115698448,24.92,1
1.0368,165.078978592,50.19,1
0.688,168.017106608,93.33,0
1.5423,200.942540468,50.19,0
0.478,167.02185764,87.49,1
1.5061,148.100048384,24.92,1
1.8041999999999998,136.063662876,32.67,1
-0.9088,286.04688251199997,113.52000000000001,1
-3.7642999999999986,218.993389352,79.32,0
-0.23880000000000012,152.058577496,62.22,0
1.08822,137.047678464,50.19,0
-2.933899999999999,335.0406176579999,160.46,1
1.8961999999999999,162.115698448,24.92,1
3.00882,583.1712392760002,138.1,1
0.8313000000000001,150.07931294,41.99,1
2.2713,167.094628656,31.23,0
2.570000000000001,158.141913196,32.67,1
-0.5158,155.077407734,65.09,1
1.8609,178.110613068,35.95,1
1.8609,178.110613068,35.95,1
-0.10399999999999993,184.0785991,79.29,1
0.5218999999999998,210.136827816,49.410000000000004,1
1.8609,178.110613068,35.95,1
1.8609,178.110613068,35.95,1
0.2306999999999999,167.058243148,59.42,1
0.6524999999999999,203.03492086,59.42,1
1.8483,162.115698448,16.130000000000003,1
0.08349999999999985,153.042593084,59.3,1
-0.5158,152.058577496,65.09,1
1.8999,181.11531895599998,45.56,1
1.8483,169.15963566999997,16.130000000000003,1
1.8483,165.13452868599998,16.130000000000003,1
0.7086999999999999,137.047678464,50.19,0
1.1304999999999998,173.024356176,50.19,1
-0.5158,152.058577496,65.09,1
-0.5158,155.077407734,65.09,1
1.8483,166.14080543199998,16.130000000000003,1
0.7797999999999998,123.0320284,50.19,0
2.0871,158.08439832,17.82,1
0.7798,127.05713538399999,50.19,1
2.4386,213.078978592,39.19,1
1.6722,164.12515536799998,24.92,1
-2.529199999999997,338.1477864239999,117.17000000000002,0
0.478,170.040687878,87.49,0
0.7904999999999998,192.089877624,59.06,1
1.8483,162.115698448,16.130000000000003,1
1.216,190.110613068,33.2,1
2.0766999999999998,144.068748256,28.68,1
1.8999,177.090211972,45.56,1
1.0327,162.07931294,41.99,1
0.9522999999999999,178.110613068,36.36,1
1.6866,158.988719616,29.96,1
-1.1254000000000002,137.047678464,44.01,1
-2.786699999999999,173.024356176,41.18,0
1.4902999999999995,190.980777112,50.19,0
1.5061,152.12515536799998,24.92,1
1.0489000000000002,120.032362748,42.32,1
1.3414,201.978134256,93.33,0
2.938700000000001,300.14739249999997,73.66000000000001,1
1.01928,147.079647288,39.92,1
0.5218999999999998,210.136827816,49.410000000000004,1
-6.676599999999997,686.0750816400002,318.13,0
0.478,167.02185764,87.49,1
1.758,160.100048384,16.130000000000003,1
0.7184999999999993,244.121177752,49.410000000000004,1
2.1205999999999996,214.08546094,66.91,1
1.08822,137.047678464,50.19,0
1.1383,193.085126592,59.61,1
-1.7181999999999966,304.043646544,7.12,1
-4.046299999999995,498.16970363999974,309.25,0
-2.396899999999995,462.1485742719998,246.24999999999997,0
1.7167999999999999,272.079706864,78.38000000000001,1
1.5061,152.12515536799998,24.92,1
0.13179999999999997,196.121177752,49.410000000000004,1
3.233100000000001,284.15247788,53.43000000000001,1
1.8483,162.115698448,16.130000000000003,1
0.7797999999999998,123.0320284,50.19,0
0.8823199999999998,123.068413908,33.120000000000005,0
-0.09779999999999978,110.048012812,52.959999999999994,1
1.8999,181.11531895599998,45.56,1
1.0993,194.105527688,50.0,1
1.2639,178.110613068,41.99,1
1.69844,107.073499288,12.89,1
0.1805000000000001,126.07311979599999,55.980000000000004,1
1.5007,165.13452868599998,16.130000000000003,1
2.066,189.090211972,45.56,1
1.0327,166.10441992399998,41.99,1
3.2056000000000013,233.095297352,38.67,1
0.4412,136.063662876,41.99,1
0.3457000000000002,192.089877624,53.43000000000001,1
1.3749,176.094963004,33.2,1
1.6645,150.10950530399998,25.25,1
-3.002599999999996,352.12705097999986,134.24,0
-3.6478999999999955,663.1091218040001,321.09,0
1.8961999999999999,162.115698448,24.92,1
1.2639,182.13572005199998,41.99,1
-4.031799999999996,368.12196559999984,154.47,1
0.34570000000000006,195.10870786200002,53.43000000000001,1
1.8483,166.137883526,16.130000000000003,1
1.3749,179.113793242,33.2,1
1.8961999999999999,166.14080543199998,24.92,1
2.29,195.13096901999998,45.56,1
1.8483,166.14080543199998,16.130000000000003,1
1.6722,160.100048384,24.92,1
1.2639,184.130742108,41.99,1
1.3749,180.117148082,33.2,1
1.2639,181.129443306,41.99,1
1.3749,180.12006998799998,33.2,1
2.5017000000000005,196.076726096,16.130000000000003,1
-1.7377999999999971,368.1219656,149.65000000000003,1
2.1436,156.068748256,25.78,1
1.6577,211.12588363999998,62.63,1
1.8999,177.090211972,45.56,1
2.066,189.090211972,45.56,1
2.1943,150.07931294,32.67,1
1.0199999999999998,178.110613068,59.14,0
2.15672,176.131348512,16.130000000000003,1
-0.49499999999999944,364.12705098000004,118.42000000000002,0
3.1536000000000017,248.15247788,42.43,0
-2.749099999999998,276.051299196,122.61000000000001,0
2.9539000000000017,282.136827816,42.43,1
-0.035499999999999865,308.10083623199995,132.88000000000002,1
-3.0775799999999984,277.991610972,46.97,1
1.19074,137.084063972,33.120000000000005,0
1.4597,163.063328528,39.19,1
